algorithm,nodes_count,active_nodes,failed_nodes,packet_loss_probability,node_failure_probability,duration_ms,coverage_active_pct,coverage_total_pct,messages_sent,packets_lost,failed_deliveries,duplicates,rounds,p95_delivery_ms,scenario,repeat
Single Cast,200,180,20,0.2,0.1,3.412293,81.66666666666667,73.5,199,33,20,0,1,3.1642867563772326,"S2: потеря 20%, отказ 10%",6
Single Cast,200,180,20,0.2,0.1,3.35873,80.55555555555556,72.5,199,35,20,0,1,3.036749098960657,"S2: потеря 20%, отказ 10%",7
Single Cast,200,180,20,0.2,0.1,3.424266,80.0,72.0,199,36,20,0,1,3.00612793718433,"S2: потеря 20%, отказ 10%",8
Single Cast,200,180,20,0.2,0.1,3.484191,80.55555555555556,72.5,199,35,20,0,1,3.189494366585463,"S2: потеря 20%, отказ 10%",9
Single Cast,200,180,20,0.2,0.1,3.364885,79.44444444444444,71.5,199,37,20,0,1,3.167497313018364,"S2: потеря 20%, отказ 10%",10
Hierarchical Multicast,200,180,20,0.2,0.1,3.678451,74.44444444444444,67.0,180,28,19,0,2,3.519946220484297,"S2: потеря 20%, отказ 10%",1
Hierarchical Multicast,200,180,20,0.2,0.1,3.572266,50.55555555555556,45.5,123,19,14,0,2,3.3232852800754427,"S2: потеря 20%, отказ 10%",2
Hierarchical Multicast,200,180,20,0.2,0.1,3.98253,48.888888888888886,44.0,124,21,16,0,2,3.8720622894760854,"S2: потеря 20%, отказ 10%",3
Hierarchical Multicast,200,180,20,0.2,0.1,4.054287,71.11111111111111,64.0,180,35,18,0,2,3.7321720884436314,"S2: потеря 20%, отказ 10%",4
Hierarchical Multicast,200,180,20,0.2,0.1,3.765962,55.0,49.5,142,31,13,0,2,3.3994996299508866,"S2: потеря 20%, отказ 10%",5
Hierarchical Multicast,200,180,20,0.2,0.1,3.568314,47.77777777777778,43.0,124,24,15,0,2,3.442437775465281,"S2: потеря 20%, отказ 10%",6
Hierarchical Multicast,200,180,20,0.2,0.1,3.82942,57.22222222222222,51.5,143,26,15,0,2,3.769688960976138,"S2: потеря 20%, отказ 10%",7
Hierarchical Multicast,200,180,20,0.2,0.1,3.953232,80.0,72.0,199,36,20,0,2,3.5736785078371427,"S2: потеря 20%, отказ 10%",8
Hierarchical Multicast,200,180,20,0.2,0.1,3.823471,57.22222222222222,51.5,143,25,16,0,2,3.7228897938517695,"S2: потеря 20%, отказ 10%",9
Hierarchical Multicast,200,180,20,0.2,0.1,3.619112,57.22222222222222,51.5,143,30,11,0,2,3.404950947225635,"S2: потеря 20%, отказ 10%",10
Broadcast Flooding,200,180,20,0.2,0.1,2.732567,100.0,90.0,35641,6439,3600,25423,180,2.4861674977265515,"S2: потеря 20%, отказ 10%",1
Broadcast Flooding,200,180,20,0.2,0.1,2.454205,100.0,90.0,35641,6288,3600,25574,180,2.2254462732860993,"S2: потеря 20%, отказ 10%",2
Broadcast Flooding,200,180,20,0.2,0.1,2.530506,100.0,90.0,35641,6422,3600,25440,180,2.3700846130033355,"S2: потеря 20%, отказ 10%",3
Broadcast Flooding,200,180,20,0.2,0.1,2.811181,100.0,90.0,35641,6361,3600,25501,180,2.5314939186354852,"S2: потеря 20%, отказ 10%",4
Broadcast Flooding,200,180,20,0.2,0.1,2.642357,100.0,90.0,35641,6413,3600,25449,180,2.4633766976261224,"S2: потеря 20%, отказ 10%",5
Broadcast Flooding,200,180,20,0.2,0.1,2.486191,100.0,90.0,35641,6420,3600,25442,180,2.28123414872137,"S2: потеря 20%, отказ 10%",6
Broadcast Flooding,200,180,20,0.2,0.1,2.537617,100.0,90.0,35641,6322,3600,25540,180,2.3761779704883943,"S2: потеря 20%, отказ 10%",7
Broadcast Flooding,200,180,20,0.2,0.1,2.523105,100.0,90.0,35641,6459,3600,25403,180,2.352766632674212,"S2: потеря 20%, отказ 10%",8
Broadcast Flooding,200,180,20,0.2,0.1,2.68076,100.0,90.0,35641,6551,3600,25311,180,2.4108723720170406,"S2: потеря 20%, отказ 10%",9
Broadcast Flooding,200,180,20,0.2,0.1,2.660908,100.0,90.0,35641,6348,3600,25514,180,2.3318513499187983,"S2: потеря 20%, отказ 10%",10
Gossip Push,200,180,20,0.2,0.1,40.0,100.0,90.0,1773,309,179,1106,8,35.7256170653386,"S2: потеря 20%, отказ 10%",1
Gossip Push,200,180,20,0.2,0.1,35.0,100.0,90.0,1260,232,125,724,7,31.960408540800465,"S2: потеря 20%, отказ 10%",2
Gossip Push,200,180,20,0.2,0.1,45.0,100.0,90.0,2487,441,260,1607,9,31.853243977785482,"S2: потеря 20%, отказ 10%",3
Gossip Push,200,180,20,0.2,0.1,35.0,100.0,90.0,1293,209,103,802,7,31.616107940952787,"S2: потеря 20%, отказ 10%",4
Gossip Push,200,180,20,0.2,0.1,40.0,100.0,90.0,1638,294,169,996,8,35.636578301854954,"S2: потеря 20%, отказ 10%",5
Gossip Push,200,180,20,0.2,0.1,35.0,100.0,90.0,1239,231,107,722,7,31.91971783736571,"S2: потеря 20%, отказ 10%",6
Gossip Push,200,180,20,0.2,0.1,45.0,100.0,90.0,2334,430,220,1505,9,31.882939275687583,"S2: потеря 20%, отказ 10%",7
Gossip Push,200,180,20,0.2,0.1,35.0,100.0,90.0,1428,212,146,891,7,31.695354237293543,"S2: потеря 20%, отказ 10%",8
Gossip Push,200,180,20,0.2,0.1,40.0,100.0,90.0,1560,309,138,934,8,36.67148435450546,"S2: потеря 20%, отказ 10%",9
Gossip Push,200,180,20,0.2,0.1,40.0,100.0,90.0,1938,387,177,1195,8,31.848942440813776,"S2: потеря 20%, отказ 10%",10
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,20.0,100.0,90.0,3461,651,0,0,4,16.873513509772195,"S2: потеря 20%, отказ 10%",1
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,25.0,100.0,90.0,4180,806,0,0,5,21.34631456331744,"S2: потеря 20%, отказ 10%",2
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,20.0,100.0,90.0,4167,875,0,0,4,16.92698021360406,"S2: потеря 20%, отказ 10%",3
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,30.0,100.0,90.0,4894,1000,0,0,6,21.371777028260812,"S2: потеря 20%, отказ 10%",4
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,25.0,100.0,90.0,4175,849,0,0,5,16.881136961789668,"S2: потеря 20%, отказ 10%",5
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,25.0,100.0,90.0,3819,801,0,0,5,21.484824538807747,"S2: потеря 20%, отказ 10%",6
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,25.0,100.0,90.0,4182,819,0,0,5,21.927939009325357,"S2: потеря 20%, отказ 10%",7
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,30.0,100.0,90.0,4904,959,0,0,6,21.212778307596036,"S2: потеря 20%, отказ 10%",8
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,20.0,100.0,90.0,3455,702,0,0,4,16.99238651113355,"S2: потеря 20%, отказ 10%",9
Adaptive Gossip Push-Pull,200,180,20,0.2,0.1,25.0,100.0,90.0,4186,827,0,0,5,21.24169110477367,"S2: потеря 20%, отказ 10%",10
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,18.678451,100.0,90.0,1136,188,122,647,5,15.039573178437026,"S2: потеря 20%, отказ 10%",1
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,28.572266,100.0,90.0,1623,286,155,1003,7,19.553783202375786,"S2: потеря 20%, отказ 10%",2
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,28.98253,100.0,90.0,1590,286,173,952,7,20.354077372705728,"S2: потеря 20%, отказ 10%",3
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,19.054287,100.0,90.0,1102,200,119,604,5,16.032507864929414,"S2: потеря 20%, отказ 10%",4
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,23.765962,100.0,90.0,1332,233,114,806,6,15.653947385701763,"S2: потеря 20%, отказ 10%",5
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,28.568314,100.0,90.0,1590,275,168,968,7,20.12828638087988,"S2: потеря 20%, отказ 10%",6
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,28.82942,100.0,90.0,1707,310,156,1062,7,15.407124821786066,"S2: потеря 20%, отказ 10%",7
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,13.953232,100.0,90.0,837,135,94,429,4,10.833883378636362,"S2: потеря 20%, отказ 10%",8
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,18.823471,100.0,90.0,1001,162,86,574,5,15.612307898282168,"S2: потеря 20%, отказ 10%",9
Hybrid Multicast-Gossip,200,180,20,0.2,0.1,33.619112,100.0,90.0,2051,389,191,1292,8,19.74679563625014,"S2: потеря 20%, отказ 10%",10
Single Cast,200,160,40,0.3,0.2,3.439274,68.75,55.0,199,50,40,0,1,3.2368625005176153,"S3: потеря 30%, отказ 20%",1
Single Cast,200,160,40,0.3,0.2,3.501701,71.875,57.5,199,45,40,0,1,2.9807401736175954,"S3: потеря 30%, отказ 20%",2
Single Cast,200,160,40,0.3,0.2,3.407639,63.125,50.5,199,59,40,0,1,3.1256847222657935,"S3: потеря 30%, отказ 20%",3
Single Cast,200,160,40,0.3,0.2,3.447976,73.75,59.0,199,42,40,0,1,3.062710510788368,"S3: потеря 30%, отказ 20%",4
